Rank,Movie,InternationalBox Office,Box Office OfNumber OneMarket,Share OfNumber OneMarket,Number OneMarket
1,Avengers: Infinity War,"$1,369,318,718","$359,543,168",26.3%,China
2,Jurassic World: Fallen Kingdom,"$888,053,039","$261,223,078",29.4%,China
3,Aquaman,"$811,832,833","$291,800,000",35.9%,China
4,Bohemian Rhapsody,"$676,714,322","$115,700,000",17.1%,Japan
5,Black Panther,"$648,198,658","$104,600,000",16.1%,China
6,Venom,"$640,117,197","$270,034,912",42.2%,China
7,Incredibles 2,"$633,926,020","$73,187,600",11.5%,United Kingdom
8,Hong Hai Xing Dong,"$576,647,204","$575,849,216",99.9%,China
9,Mission: ImpossibleâFallout,"$567,297,448","$180,830,000",31.9%,China
10,Tang Ren Jie Tan An 2,"$542,084,590","$541,406,464",99.9%,China
11,Fantastic Beasts: The Crimes of Grindelwald,"$492,664,185","$58,200,000",11.8%,Japan
12,Deadpool 2,"$462,088,822","$42,952,151",9.3%,United Kingdom
13,Wo Bi Shi Yao Shen,"$451,176,640","$451,176,640",100.0%,China
14,Ready Player One,"$441,599,964","$222,100,000",50.3%,China
15,Ant-Man and the Wasp,"$406,495,920","$120,770,000",29.7%,China
16,The Meg,"$384,086,973","$153,300,000",39.9%,China
17,Xi Hong Shi Shou Fu,"$366,961,920","$366,961,920",100.0%,China
18,Zhuo yao ji 2,"$360,977,662","$356,336,096",98.7%,China
19,Hotel Transylvania 3: Summer Vacation,"$359,560,906","$32,741,220",9.1%,China
20,Bumblebee,"$338,000,000","$170,846,880",50.5%,China
21,Rampage,"$327,028,047","$159,000,000",48.6%,China
22,Ralph Breaks The Internet,"$322,381,106","$39,000,000",12.1%,China
23,Mamma Mia: Here We Go Again!,"$271,839,732","$84,189,103",31.0%,United Kingdom
24,Fifty Shades Freed,"$270,942,859","$33,722,493",12.4%,Germany
25,The Nun,"$246,226,328","$22,300,000",9.1%,Mexico
26,Dr. Seussâ The Grinch,"$240,357,727","$35,572,795",14.8%,United Kingdom
27,Green Book,"$237,636,853","$71,039,624",29.9%,China
28,Skyscraper,"$235,695,414","$98,444,096",41.8%,China
29,Peter Rabbit,"$231,898,187","$54,031,318",23.3%,United Kingdom
30,Pacific Rim: Uprising,"$231,055,623","$99,488,360",43.1%,China
31,A Star is Born,"$218,056,471","$39,000,000",17.9%,United Kingdom
32,Tomb Raider,"$215,226,698","$78,600,000",36.5%,China
33,Hou Lai De Wo Men,"$209,221,328","$209,221,328",100.0%,China
34,Maze Runner: The Death Cure,"$207,846,093","$49,713,628",23.9%,China
35,Yi Chu Hao Xi,"$197,659,887","$197,276,240",99.8%,China
36,Wu Shuang,"$186,027,770","$183,354,992",98.6%,China
37,Spider-Man: Into The Spider-Verse 3D,"$185,069,944","$61,988,276",33.5%,China
38,Solo: A Star Wars Story,"$179,383,835","$25,840,048",14.4%,United Kingdom
39,Mary Poppins Returns,"$168,288,001","$55,886,417",33.2%,United Kingdom
40,Oceanâs 8,"$156,897,265","$14,800,000",9.4%,United Kingdom
41,Johnny English Strikes Again,"$155,007,496","$24,824,538",16.0%,China
42,Bi Bei Shang Geng Bei Shang De Gu Shi,"$150,333,552","$139,613,552",92.9%,China
43,A Quiet Place,"$148,133,165","$34,446,116",23.3%,China
44,How Long Will I Love U,"$136,000,929","$135,346,912",99.5%,China
45,Smallfoot,"$130,446,466","$14,644,717",11.2%,France
46,Wu Wen Xi Dong,"$119,035,160","$119,035,160",100.0%,China
47,Huang Qiang Zou Ban,"$117,577,445","$117,404,848",99.9%,China
48,The Nutcracker and the Four Realms,"$115,435,048","$16,238,604",14.1%,China
49,Xi You Ji Nu Er Guo,"$114,902,870","$114,778,320",99.9%,China
50,The Predator,"$108,462,855","$31,230,912",28.8%,China
51,Meitantei Conan: Zero no ShikkÃ´nin,"$107,918,046","$80,403,456",74.5%,Japan
52,Insidious: The Last Key,"$105,066,641","$9,080,255",8.6%,Indonesia
53,Red Sparrow,"$99,077,356","$11,293,833",11.4%,Germany
54,Christopher Robin,"$98,289,716","$21,496,668",21.9%,Japan
55,Creed II,"$97,875,633","$14,700,000",15.0%,France
56,Xiong Chu Mei Zhi Bian Xing Ji,"$96,755,799","$96,509,976",99.7%,China
57,Halloween,"$95,560,707","$12,406,611",13.0%,Mexico
58,Shou Ji Kuang Xiang,"$94,951,615","$94,864,192",99.9%,China
59,Dragon Ball Super: Broly,"$92,371,000","$34,644,280",37.5%,Japan
60,Singwa Hamgge: Ingwa Yeon,"$91,599,660","$91,134,944",99.5%,South Korea
61,Jing Zhou,"$90,941,185","$90,524,288",99.5%,China
