Rank,Movie,InternationalBox Office,Box Office OfNumber OneMarket,Share OfNumber OneMarket,Number OneMarket
1,Captain America: Civil War,"$731,985,064","$180,794,512",24.7%,China
2,Zootopia,"$678,161,368","$235,770,000",34.8%,China
3,The Jungle Book,"$598,853,424","$150,100,000",25.1%,China
4,Fantastic Beasts and Where to Find Them,"$568,365,278","$85,963,408",15.1%,China
5,Mei Ren Yu,"$551,287,214","$526,848,192",95.6%,China
6,Batman v Superman: Dawn of Justice,"$537,140,087","$95,769,368",17.8%,China
7,Finding Dory,"$534,919,632","$65,982,720",12.3%,Japan
8,The Secret Life of Pets,"$518,222,082","$58,307,652",11.3%,China
9,Rogue One: A Star Wars Story,"$516,925,532","$81,837,978",15.8%,United Kingdom
10,Doctor Strange,"$443,762,646","$110,300,000",24.9%,China
11,Deadpool,"$437,954,884","$54,166,400",12.4%,United Kingdom
12,Suicide Squad,"$420,959,833","$44,002,417",10.5%,United Kingdom
13,Warcraft,"$391,534,534","$213,541,456",54.5%,China
14,Moana,"$388,760,321","$45,915,440",11.8%,Japan
15,X-Men: Apocalypse,"$387,095,057","$120,765,096",31.2%,China
16,Kung Fu Panda 3,"$374,070,523","$154,304,368",41.3%,China
17,Sing,"$364,125,744","$45,778,021",12.6%,Japan
18,Kimi no na wa,"$356,023,831","$225,984,110",63.5%,Japan
19,Ice Age: Collision Course,"$338,093,674","$66,059,140",19.5%,China
20,The Great Wall,"$289,329,747","$170,590,000",59.0%,China
21,Resident Evil: The Final Chapter,"$287,256,498","$161,470,000",56.2%,China
22,Dangal,"$282,262,857","$193,050,864",68.4%,China
23,Independence Day: Resurgence,"$281,025,138","$75,359,648",26.8%,China
24,La La Land,"$275,249,360","$38,116,792",13.8%,Japan
25,Now You See Me 2,"$263,249,467","$97,115,216",36.9%,China
26,Jason Bourne,"$253,975,396","$66,200,000",26.1%,China
27,The Angry Birds Movie,"$244,818,521","$75,872,968",31.0%,China
28,The Legend of Tarzan,"$222,258,964","$46,152,612",20.8%,China
29,The Conjuring 2: The Enfield Poltergeist,"$208,792,094","$20,300,000",9.7%,Mexico
30,Miss Peregrineâs Home for Peculiar Children,"$208,744,042","$20,123,260",9.6%,France
31,Passengers,"$202,224,973","$45,279,884",22.4%,China
32,Alice Through the Looking Glass,"$199,885,731","$58,900,000",29.5%,China
33,Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,"$193,348,521","$185,380,000",95.9%,China
34,Trolls,"$190,443,070","$30,289,849",15.9%,United Kingdom
35,Assassinâs Creed,"$186,111,734","$23,337,486",12.5%,China
36,Inferno,"$185,175,793","$20,161,930",10.9%,China
37,Du cheng feng yun III,"$182,579,909","$172,104,368",94.3%,China
38,Bridget Jonesâs Baby,"$181,682,883","$60,301,115",33.2%,United Kingdom
39,Star Trek Beyond,"$176,953,893","$65,170,088",36.8%,China
40,Operation Mekong,"$173,057,000","$172,477,760",99.7%,China
41,Teenage Mutant Ninja Turtles: Out of the Shadows,"$163,276,773","$58,933,100",36.1%,China
42,Me Before You,"$152,020,123","$20,729,128",13.6%,Brazil
43,Time Raiders,"$145,974,597","$145,692,960",99.8%,China
44,The BFG,"$144,162,910","$40,299,440",28.0%,United Kingdom
45,London Has Fallen,"$132,669,825","$52,302,200",39.4%,China
46,Skiptrace,"$131,200,745","$129,014,984",98.3%,China
47,I Belonged to You,"$118,675,362","$118,084,720",99.5%,China
48,The Huntsman: Winterâs War,"$117,146,287","$16,952,540",14.5%,China
49,Finding Mr Right 2,"$116,100,802","$114,130,120",98.3%,China
50,Da Huo Zhong,"$116,000,000","$116,000,000",100.0%,China
51,Sully,"$113,454,523","$12,031,043",10.6%,Japan
52,Storks,"$110,674,153","$11,461,078",10.4%,China
53,Gods of Egypt,"$107,683,292","$35,598,524",33.1%,China
54,The Divergent Series: Allegiant,"$105,838,466","$18,676,216",17.6%,China
55,Mechanic: Resurrection,"$104,511,232","$49,243,216",47.1%,China
56,Cold War 2,"$103,968,662","$102,197,264",98.3%,China
57,Arrival,"$102,581,755","$15,884,890",15.5%,China
58,Hacksaw Ridge,"$101,695,067","$62,124,944",61.1%,China
59,Railroad Tigers,"$101,595,233","$101,519,152",99.9%,China
60,Jack Reacher: Never Go Back,"$101,249,413","$9,825,861",9.7%,United Kingdom
61,Ghostbusters,"$100,658,084","$14,167,996",14.1%,United Kingdom
62,The Girl on the Train,"$98,883,179","$29,494,720",29.8%,United Kingdom
63,Lion,"$97,831,225","$23,234,817",23.7%,Australia
64,Busanhaeng,"$96,328,335","$83,228,456",86.4%,South Korea
65,Some Like It Hot,"$95,655,578","$95,620,408",100.0%,China
66,Central Intelligence,"$89,753,934","$11,521,195",12.8%,Australia
67,Line Walker,"$89,565,024","$87,941,104",98.2%,China
68,DÃ  YÃº HÇi TÃ¡ng,"$85,571,198","$85,023,632",99.4%,China
69,Lights Out,"$81,537,675","$7,919,240",9.7%,South Korea
70,Allied,"$79,168,597","$8,935,413",11.3%,Australia
71,The 5th Wave,"$76,423,416","$7,220,487",9.4%,France
72,Ballerina,"$75,032,724","$13,114,121",17.5%,France
73,Quo Vado?,"$73,811,841","$70,692,656",95.8%,Italy
74,Shin Godjira,"$73,704,456","$73,490,112",99.7%,Japan
75,Tunnel,"$71,891,456","$52,246,029",72.7%,South Korea
76,I Am not Madame Bovary,"$70,403,856","$70,174,368",99.7%,China
77,See You Tomorrow,"$70,065,568","$70,065,568",100.0%,China
78,Donât Breathe,"$69,755,810","$7,592,979",10.9%,South Korea
79,Dirty Grandpa,"$69,485,336","$11,678,806",16.8%,Germany
80,The Magnificent Seven,"$69,092,501","$7,921,183",11.5%,United Kingdom
81,Bad Moms,"$67,741,419","$11,600,000",17.1%,Australia
82,Sultan,"$67,390,000","$5,259,463",7.8%,China
83,The Accountant,"$66,702,038","$6,575,792",9.9%,United Kingdom
84,Geomsawejeon,"$66,336,016","$66,168,289",99.7%,South Korea
85,Meitantei Konan: Junkoku no naitomea,"$66,265,957","$4,465,704",6.7%,China
86,One Piece Film: Gold,"$65,605,166","$47,824,456",72.9%,Japan
87,Ben-Hur,"$65,259,171","$9,727,994",14.9%,South Korea
88,The Shallows,"$63,641,819","$15,018,620",23.6%,China
