Rank,Movie,InternationalBox Office,Box Office OfNumber OneMarket,Share OfNumber OneMarket,Number OneMarket
165,"McDull, Kung Fu Kindergarten","$12,031,621","$12,031,621",100.0%,China
166,My Life in Ruins,"$11,800,000",,,
167,Katyn,"$11,764,195",,,
168,Nae sarang nae gyeotae,"$11,701,551",,,
169,Doroppu,"$11,528,993",,,
170,"Hexe Lilli, der Drache und das magische Buch","$11,338,495",,,
171,Jonas Brothers: The 3D Concert Experience,"$11,266,091",,,
172,De Dana Dan,"$11,053,270",,,
173,Garfield's Pet Force,"$10,918,505",,,
174,Faubourg 36,"$10,760,000",,,
175,Bad Lieutenant: Port of Call New Orleans,"$10,711,837",,,
176,Under the Sea 3D,"$10,638,746","$2,758,442",25.9%,Australia
177,Lyubov v bolshom gorode,"$10,439,457",,,
178,Rudo y Cursi,"$10,160,264",,,
