Rank,Movie,InternationalBox Office,Box Office OfNumber OneMarket,Share OfNumber OneMarket,Number OneMarket
1,Furious 7,"$1,165,715,774","$390,870,000",33.5%,China
2,Star Wars Ep. VII: The Force Awakens,"$1,116,648,995","$163,608,625",14.7%,United Kingdom
3,Jurassic World,"$996,584,239","$205,200,000",20.6%,China
4,Avengers: Age of Ultron,"$944,008,095","$240,120,000",25.4%,China
5,Minions,"$824,290,403","$73,240,514",8.9%,United Kingdom
6,Spectre,"$679,546,748","$124,347,945",18.3%,United Kingdom
7,Inside Out,"$497,774,281","$59,453,195",11.9%,United Kingdom
8,Mission: ImpossibleâRogue Nation,"$493,816,615","$126,700,000",25.7%,China
9,The Martian,"$426,837,780","$85,480,000",20.0%,China
10,Fifty Shades of Grey,"$404,830,871","$52,509,387",13.0%,United Kingdom
11,The Hunger Games: Mockingjay - Part 2,"$367,262,885","$44,071,148",12.0%,United Kingdom
12,Zhuo yao ji,"$359,462,825","$355,270,000",98.8%,China
13,The Revenant,"$349,300,408","$58,684,120",16.8%,China
14,Terminator: Genisys,"$342,389,938","$105,420,000",30.8%,China
15,Ant-Man,"$338,656,286","$105,718,824",31.2%,China
16,Cinderella,"$333,400,000","$65,110,000",19.5%,China
17,San Andreas,"$301,067,707","$91,830,000",30.5%,China
18,Hotel Transylvania 2,"$299,800,188","$31,294,340",10.4%,United Kingdom
19,Kingsman: The Secret Service,"$276,300,000","$70,940,000",25.7%,China
20,The Ghouls,"$247,448,912","$245,030,000",99.0%,China
21,Taken 3,"$238,400,000","$29,560,000",12.4%,China
22,Gang jiong,"$235,971,100","$234,431,232",99.3%,China
23,Maze Runner: The Scorch Trials,"$228,868,970","$30,807,374",13.5%,China
24,Mad Max: Fury Road,"$216,461,666","$28,403,988",13.1%,South Korea
25,The Good Dinosaur,"$210,683,917","$22,535,022",10.7%,United Kingdom
26,Xia Luo Te Fan Nao,"$210,280,552","$209,590,000",99.7%,China
27,Home,"$208,600,386","$38,301,052",18.4%,United Kingdom
28,Everest,"$177,814,791","$16,020,482",9.0%,China
29,Jian Bing Man,"$169,842,267","$169,480,000",99.8%,China
30,Xi you ji zhi da sheng gui lai,"$166,968,128","$138,640,000",83.0%,China
31,Pixels,"$165,275,818","$15,555,414",9.4%,China
32,The Divergent Series: Insurgent,"$164,896,810","$16,025,536",9.7%,France
33,Alvin and the Chipmunks: The Road Chip,"$163,630,969","$23,917,131",14.6%,United Kingdom
34,Yip Man 3,"$154,621,517","$124,101,200",80.3%,China
35,The SpongeBob Movie: Sponge Out of Water,"$148,019,149","$15,176,891",10.3%,Mexico
36,Du Cheng Feng Yun 2,"$146,203,224","$142,540,000",97.5%,China
