Rank,Movie,InternationalBox Office,Box Office OfNumber OneMarket,Share OfNumber OneMarket,Number OneMarket
37,Gun dan ba! Zhong liu jun,"$146,200,000","$79,590,000",54.4%,China
38,Lao pao er,"$137,789,916","$137,268,160",99.6%,China
39,Ted 2,"$135,737,758","$20,785,225",15.3%,Japan
40,Jupiter Ascending,"$134,500,000","$41,460,000",30.8%,China
41,Fack ju Gohte 2,"$125,000,000","$70,207,176",56.2%,Germany
42,Tian jiang xiong shi,"$122,445,804","$108,650,000",88.7%,China
43,Spy!,"$121,760,036","$16,352,406",13.4%,South Korea
44,The Intern,"$121,351,038","$24,746,984",20.4%,South Korea
45,Tang ren jie tan an,"$120,183,719","$119,880,000",99.7%,China
46,The Peanuts Movie,"$119,913,199","$18,868,920",15.7%,United Kingdom
47,Lang Tu Teng,"$116,888,636","$101,990,000",87.3%,China
48,Pan,"$116,437,653","$13,454,128",11.6%,United Kingdom
49,Focus,"$114,202,737","$11,202,352",9.8%,United Kingdom
50,Bajrangi Bhaijaan,"$113,600,346","$62,911,820",55.4%,India
51,Tomorrowland,"$113,191,196","$19,250,000",17.0%,China
52,Fantastic Four,"$111,731,639","$10,240,076",9.2%,Mexico
53,The Last Witch Hunter,"$103,451,252","$27,404,244",26.5%,China
54,Pitch Perfect 2,"$103,329,238","$26,967,922",26.1%,United Kingdom
55,The Little Prince,"$100,717,706","$22,700,000",22.5%,China
56,Jiu ceng yao ta,"$99,120,000","$99,120,000",100.0%,China
57,E gun tian shi,"$98,501,134","$98,465,200",100.0%,China
58,Point Break,"$97,922,110","$35,930,000",36.7%,China
59,Assassination,"$95,028,679","$87,877,901",92.5%,South Korea
60,Sha po long 2,"$94,809,560","$91,490,000",96.5%,China
61,The Hateful Eight,"$93,747,470","$13,251,349",14.1%,Germany
62,Daddyâs Home,"$92,400,000","$25,267,552",27.3%,United Kingdom
63,Bridge of Spies,"$90,184,584","$12,120,274",13.4%,United Kingdom
64,Veteran,"$89,342,778","$89,021,008",99.6%,South Korea
65,Shaun the Sheep,"$82,549,179","$20,896,235",25.3%,United Kingdom
66,Our Times,"$82,015,701","$52,360,000",63.8%,China
67,Zhan Lang,"$81,461,069","$81,273,856",99.8%,China
68,Tiny Times 4.0,"$79,230,000","$79,230,000",100.0%,China
69,Goosebumps,"$78,835,866","$12,978,418",16.5%,United Kingdom
70,Zuo Er,"$77,910,000","$70,860,000",91.0%,China
71,Chappie,"$73,432,788","$15,100,000",20.6%,China
72,Insidious Chapter 3,"$68,234,597","$6,335,324",9.3%,United Kingdom
73,Benpao Ba! Xiongdi,"$68,110,000","$64,970,000",95.4%,China
74,He Yi Sheng Xiao Mo,"$67,458,479","$51,600,000",76.5%,China
75,Dao shi xia shan,"$65,545,173","$65,490,000",99.9%,China
76,In the Heart of the Sea,"$64,672,551","$6,335,173",9.8%,Mexico
77,Zhong Kui fu mo: Xue yao mo ling,"$63,870,868","$59,550,000",93.2%,China
78,Creed,"$63,800,000","$11,550,543",18.1%,France
79,The Big Short,"$62,902,882","$8,470,277",13.5%,United Kingdom
80,Inside Men,"$62,698,565","$62,518,086",99.7%,South Korea
81,Bai Fa Mo Nu Zhuan Zhi Ming Yue Tian Guo,"$61,850,000",,,
82,Meitantei Conan: Goka no himawari,"$60,985,674","$36,497,928",59.8%,Japan
83,Bai tuan da zhan,"$59,800,000","$59,800,000",100.0%,China
84,Hitman: Agent 47,"$59,715,353","$4,624,589",7.7%,France
85,Paranormal Activity: The Ghost Dimension,"$59,662,250","$6,172,295",10.3%,Germany
86,The Man From U.N.C.L.E.,"$59,504,475","$9,746,887",16.4%,United Kingdom
87,Magic Mike XXL,"$57,647,540","$10,680,792",18.5%,United Kingdom
88,The Second Best Exotic Marigold Hotel,"$57,306,040","$24,463,410",42.7%,United Kingdom
89,The Danish Girl,"$55,428,886","$10,837,569",19.6%,United Kingdom
90,The Transporter Refueled,"$53,668,825","$18,380,000",34.2%,China
91,Paper Towns,"$53,450,180","$6,606,688",12.4%,United Kingdom
92,Eiga Youkai wocchi: Enma daiou to 5-tsu no mono…,"$53,396,284","$45,429,072",85.1%,Japan
93,Hollywood Adventures,"$53,246,837","$52,570,000",98.7%,China
94,The Walk,"$51,330,921","$13,759,361",26.8%,China
95,Himalaya,"$51,009,970","$50,869,072",99.7%,South Korea
96,Doragon bÃ´ru Z: Fukkatsu no 'F',"$50,400,000","$30,117,264",59.8%,Japan
97,Surprise: Journey to the West,"$49,576,645","$49,373,332",99.6%,China
98,Bakemono no ko,"$49,323,139","$46,863,972",95.0%,Japan
99,Poltergeist,"$48,287,944","$6,104,805",12.6%,United Kingdom
100,Spotlight,"$47,032,684","$8,955,708",19.0%,United Kingdom
101,Xiong Chu Mei Zhi Xue Ling Xiong Feng,"$46,998,773","$42,910,000",91.3%,China
102,Zan men jie hun ba,"$45,420,000","$41,620,000",91.6%,China
103,Hero,"$45,337,587","$37,370,851",82.4%,Japan
104,You yi ge di fang zhi you wo men zhi dao,"$45,160,000","$41,150,000",91.1%,China
105,The Dead End,"$45,110,000","$44,200,000",98.0%,China
106,Joy,"$44,682,827","$7,408,496",16.6%,United Kingdom
107,Crimson Peak,"$43,876,534","$5,911,081",13.5%,Mexico
108,Vacation,"$43,422,312","$5,003,576",11.5%,Russia (CIS)
109,Prem Ratan Dhan Payo,"$43,400,000","$2,286,476",5.3%,United Arab Emirates
110,Forever Young,"$42,237,010","$42,140,000",99.8%,China
111,Southpaw,"$41,734,503","$13,506,614",32.4%,United Kingdom
112,Sado,"$41,695,667","$41,606,526",99.8%,South Korea
113,Straight Outta Compton,"$40,985,196","$12,596,399",30.7%,United Kingdom
114,Legend,"$40,552,456","$27,924,806",68.9%,United Kingdom
115,Run All Night,"$40,500,000","$3,765,177",9.3%,Mexico
116,N.L.L: Yeonpyeong Haejeon,"$39,769,627","$39,629,336",99.6%,South Korea
117,Ocho apellidos catalanes,"$39,440,104","$39,156,668",99.3%,Spain
118,Geomeun Sajedeul,"$37,784,368","$37,784,368",100.0%,South Korea
119,Sicario,"$37,504,456","$7,587,123",20.2%,United Kingdom
120,Qian Ren 2ï¼Bei Tai Fan Ji Zhan,"$36,723,790","$36,540,000",99.5%,China
121,Paul Blart: Mall Cop 2,"$36,559,052","$6,129,025",16.8%,Germany
122,Black Mass,"$36,262,194","$4,896,457",13.5%,United Kingdom
123,Arthur and the War of Two Worlds,"$35,833,688","$366,645",1.0%,South Korea
124,Les nouvelles aventures d'Aladin,"$34,510,866","$29,894,164",86.6%,France
125,Doraemon: Nobita and the Space Heroes,"$34,395,038","$31,492,044",91.6%,Japan
126,Viy,"$34,246,770","$14,259",0.0%,Brazil
127,Shi gu,"$34,244,133","$31,350,000",91.5%,China
128,The Visit,"$33,471,711","$5,395,531",16.1%,Spain
129,Chek dou,"$33,349,429","$30,490,000",91.4%,China
130,Ba Ba Qu Na Er 2,"$32,460,000","$32,460,000",100.0%,China
131,The Lady in the Van,"$32,299,328","$19,477,384",60.3%,United Kingdom
132,Unfriended,"$31,574,553","$5,866,973",18.6%,Germany
133,Wo shi zheng ren,"$31,424,661","$31,280,000",99.5%,China
134,Trainwreck,"$30,911,197","$9,843,709",31.8%,Australia
135,Heidi,"$30,734,000","$8,109,973",26.4%,Germany
136,Carol,"$30,132,030","$3,969,036",13.2%,United Kingdom
137,Jie jiu wu xian sheng,"$29,109,231","$28,330,000",97.3%,China
138,Birigyaru,"$28,532,888","$22,440,766",78.6%,Japan
139,Shingeki no kyojin,"$28,269,594","$25,786,344",91.2%,Japan
140,Detective K: Secret of the Lost Island,"$27,230,725","$27,202,504",99.9%,South Korea
141,DÃ¼gÃ¼n Dernek 2: SÃ¼nnet,"$26,367,531","$23,654,544",89.7%,Turkey
142,Sinister 2,"$26,363,270","$5,248,223",19.9%,United Kingdom
143,The Longest Ride,"$26,356,811","$5,739,469",21.8%,Germany
144,The Age of Adaline,"$26,354,760","$6,267,979",23.8%,Italy
145,Orange,"$26,261,536","$26,261,536",100.0%,Japan
146,Triumph in the Skies,"$25,441,760","$22,480,000",88.4%,China
147,Victor Frankenstein,"$25,349,291","$5,176,528",20.4%,Mexico
148,Er ist wieder da,"$25,283,394","$21,681,822",85.8%,Germany
149,Woman in Gold,"$25,278,614","$4,941,396",19.5%,Australia
150,Bride Wars,"$25,130,000","$25,130,000",100.0%,China
151,Irrational Man,"$25,053,237","$6,348,367",25.3%,France
152,Les Profs 2,"$24,964,590","$22,941,001",91.9%,France
153,To the Fore,"$24,745,722","$20,600,000",83.2%,China
154,Babysitting 2,"$24,476,064","$22,135,388",90.4%,France
155,Bou Chau Mai Sing,"$24,373,245","$23,255,714",95.4%,China
156,Ooops! Noah is Gone,"$24,285,049","$4,860,304",20.0%,United Kingdom
157,Criminal,"$24,062,566","$15,772,274",65.5%,China
158,Brooklyn,"$23,753,398","$8,584,376",36.1%,United Kingdom
159,Solace,"$23,549,031","$6,594,509",28.0%,France
160,Peng ran xin dong,"$23,303,922","$23,240,000",99.7%,China
161,Burnt,"$23,114,347","$2,483,452",10.7%,France
162,Still Alice,"$23,043,212","$3,602,671",15.6%,United Kingdom
163,Mortdecai,"$22,700,000","$6,217,852",27.4%,Japan
164,Dilwale,"$22,625,703","$13,840,242",61.2%,India
165,Love Live! The School Idol Movie,"$22,115,344","$20,716,540",93.7%,Japan
166,The Dressmaker,"$22,019,502","$14,094,549",64.0%,Australia
167,Seumool,"$22,007,889","$21,861,512",99.3%,South Korea
168,El Clan,"$21,923,875","$17,185,362",78.4%,Argentina
169,PokÃ©mon the Movie XY: Ring no Chomajin Hoopa,"$21,786,128","$20,001,926",91.8%,Japan
170,Wan Wu Sheng Zhang,"$21,630,000","$21,630,000",100.0%,China
171,Room,"$21,585,109","$5,570,414",25.8%,United Kingdom
172,Papa ou maman,"$21,552,188","$19,913,804",92.4%,France
173,Self/Less,"$21,387,628","$5,400,980",25.3%,China
174,Youth,"$21,298,277","$6,828,961",32.1%,Italy
175,Atrapa la bandera,"$21,131,406","$12,483,669",59.1%,Spain
176,Der 7bte Zwerg,"$20,930,000","$3,806,937",18.2%,China
177,Baahubali: The Beginning,"$19,998,665","$1,112,291",5.6%,China
178,Crayon Shinchan Vol. 23,"$19,445,580","$18,478,000",95.0%,Japan
179,Sheng Tang Wei Ji,"$19,305,207","$19,270,000",99.8%,China
180,Geukbisusa,"$19,243,890","$19,243,890",100.0%,South Korea
181,Hiroin shikkaku,"$19,161,660","$19,161,660",100.0%,Japan
182,Krampus,"$19,062,918","$2,728,542",14.3%,Venezuela
183,Sisters,"$18,986,015","$8,978,773",47.3%,Australia
184,Unfair the End,"$18,913,492","$18,913,492",100.0%,Japan
185,The Gallows,"$18,892,064","$2,429,647",12.9%,Mexico
186,The Woman in Black 2: Angel of Death,"$18,505,369","$7,371,544",39.8%,United Kingdom
187,Palmeras en la nieve,"$18,428,243","$18,303,848",99.3%,Spain
188,Steve Jobs,"$17,812,349","$3,375,877",19.0%,United Kingdom
189,The Accidental Detective,"$17,624,124","$17,564,146",99.7%,South Korea
190,Far from the Madding Crowd,"$17,492,950","$9,545,946",54.6%,United Kingdom
191,The Boy Next Door,"$17,395,873","$2,411,675",13.9%,Germany
192,Si accettano miracoli,"$17,368,660","$17,368,660",100.0%,Italy
193,Brothers,"$17,200,000","$10,802,328",62.8%,India
194,Un gallo con muchos huevos,"$16,991,905","$9,811,924",57.7%,Mexico
195,Emperor Holidays,"$16,960,000","$16,960,000",100.0%,China
196,Boruto: Naruto the Movie,"$16,755,523","$15,392,640",91.9%,China
197,Ich bin dann mal weg,"$16,670,205","$15,169,734",91.0%,Germany
198,"Belle et SÃ©bastien, l'aventure continue","$16,503,991","$11,739,066",71.1%,France
199,Fei Fa Cao Zuo,"$16,180,000","$16,180,000",100.0%,China
200,The 33,"$16,172,993","$4,937,597",30.5%,Chile
201,Get Hard,"$16,100,000","$7,930,891",49.3%,United Kingdom
202,Gangnam 1970,"$16,016,282","$15,863,084",99.0%,South Korea
203,Love the Coopers,"$15,924,759","$3,661,407",23.0%,United Kingdom
204,Loucas pra Casar,"$15,918,808","$15,918,808",100.0%,Brazil
205,American Ultra,"$15,855,043","$3,010,322",19.0%,China
206,Concussion,"$15,831,958","$4,464,162",28.2%,Mexico
207,Regression,"$15,769,335","$10,021,644",63.6%,Spain
208,The Wedding Ringer,"$15,711,385","$3,189,135",20.3%,United Kingdom
209,Tri bogatyrya: Khod konem,"$15,687,885","$15,687,885",100.0%,Russia (CIS)
210,No Escape,"$15,555,644","$2,421,768",15.6%,United Kingdom
211,Pourquoi j'ai pas mangÃ© mon pÃ¨re,"$15,451,663","$14,969,176",96.9%,France
212,Amy,"$15,365,441","$5,723,846",37.3%,United Kingdom
213,Ak-ui yeon-dae-gi,"$15,315,552","$15,315,552",100.0%,South Korea
214,Mucize,"$15,301,749","$15,301,749",100.0%,Turkey
215,Umimachi Diary,"$15,245,197","$12,944,572",84.9%,Japan
216,The Gift,"$15,191,212","$2,907,464",19.1%,United Kingdom
217,Le tout nouveau testament,"$14,927,251","$5,773,091",38.7%,France
218,Selma,"$14,699,668","$4,739,266",32.2%,United Kingdom
219,"Mune, le gardien de la lune","$14,534,046","$3,010,510",20.7%,France
220,The Beauty Inside,"$14,517,521","$14,336,077",98.8%,South Korea
221,Haha to Kuraseba,"$14,489,836","$14,484,841",100.0%,Japan
222,Ricki and the Flash,"$14,326,535","$2,209,081",15.4%,Australia
223,Der Nanny,"$14,113,845","$14,113,845",100.0%,Germany
224,Entourage,"$14,075,134","$5,581,718",39.7%,Australia
225,Traumfrauen,"$14,057,701","$14,057,701",100.0%,Germany
226,Snowden,"$13,793,399","$3,404,632",24.7%,France
227,Toshokan Sensoi The Last Mission,"$13,597,694","$13,578,268",99.9%,Japan
228,Bakuman,"$13,584,054","$13,498,742",99.4%,Japan
229,Oneului yeonae,"$13,576,426","$13,576,426",100.0%,South Korea
230,Listy do M. 2,"$13,482,509","$13,482,509",100.0%,Poland
231,Tamasha,"$13,239,279","$12,136,142",91.7%,India
232,The Vatican Tapes,"$13,144,421","$2,806,037",21.3%,Mexico
233,Ex Machina,"$12,917,421","$3,816,953",29.5%,United Kingdom
234,Three Heroes: Horseback,"$12,909,250","$12,909,250",100.0%,Russia (CIS)
235,Kiseijuu: Kanketsuhen,"$12,640,766","$11,418,979",90.3%,Japan
236,The Lazarus Effect,"$12,557,740","$3,143,528",25.0%,Mexico
237,Secret in Their Eyes,"$12,427,864","$1,856,632",14.9%,Mexico
238,Yi Nian Tian Tang,"$12,020,000","$12,020,000",100.0%,China
239,Macbeth,"$11,997,345","$4,341,412",36.2%,United Kingdom
240,Scouts Guide to the Zombie Apocalypse,"$11,851,809","$2,030,837",17.1%,Mexico
241,RyÃ»zÃ´ to 7 nin no kobun tachi,"$11,757,243","$11,735,165",99.8%,Japan
242,Blackhat,"$11,659,024","$965,588",8.3%,Germany
243,C'est Si Bon,"$11,537,018","$11,532,657",100.0%,South Korea
244,Perdiendo el norte,"$11,438,207","$11,438,207",100.0%,Spain
245,Little Boy,"$11,283,338","$9,697,966",85.9%,Mexico
246,Mr. Holmes,"$11,241,075","$3,990,181",35.5%,United Kingdom
247,Daeho,"$11,172,111","$11,125,632",99.6%,South Korea
248,Hot Pursuit,"$11,091,311","$2,562,573",23.1%,Mexico
249,Taxi,"$10,913,305","$1,329,496",12.2%,Germany
250,Hei Mao Jing Zhang Zhi Fei Cui Zhi Xing,"$10,849,131","$10,849,131",100.0%,China
251,Vai que Cola: O Filme,"$10,845,468","$10,845,468",100.0%,Brazil
252,Xiao shi de xiong shou,"$10,844,564","$10,710,000",98.8%,China
253,Samyy luchshiy den!,"$10,828,870","$10,828,870",100.0%,Russia (CIS)
254,Luo Ke Wang Guo 4,"$10,820,000","$10,820,000",100.0%,China
255,Shinjuku suwan,"$10,662,923","$10,662,923",100.0%,Japan
256,Di san zhong ai qing,"$10,659,259","$10,630,000",99.7%,China
257,CÃ¬kÃ¨ NiÃ¨ YinniÃ¡ng,"$10,647,342","$8,620,000",81.0%,China
258,Cha-i-na-ta-un,"$10,582,907","$10,582,907",100.0%,South Korea
259,Project Almanac,"$10,561,196","$1,799,878",17.0%,United Kingdom
260,Deo Pon,"$10,510,802","$10,510,802",100.0%,South Korea
261,AtÃ© que a Sorte nos Separe 3: A FalÃªncia Final,"$10,502,937","$10,502,937",100.0%,Brazil
262,On-Drakon,"$10,453,051","$8,814,761",84.3%,China
263,InishiÃªshon rabu,"$10,416,510","$10,105,092",97.0%,Japan
264,Galaxy KaidÃ´,"$10,291,672","$10,244,173",99.5%,Japan
265,Bis,"$10,252,908","$10,252,908",100.0%,France
266,Yokokuhan,"$10,238,535","$10,238,535",100.0%,Japan
267,Oddball,"$10,237,229","$7,675,508",75.0%,Australia
268,Nian Nian You Ai,"$10,220,378","$10,220,000",100.0%,China
269,Meu Passado Me Condena 2,"$10,198,232","$10,198,232",100.0%,Brazil
270,Du La La Sheng Zhi Ji 2,"$10,187,121","$7,160,000",70.3%,China
271,Nihon no ichiban nagai hi ketteiban,"$10,030,622","$9,939,413",99.1%,Japan
272,45 Years,"$10,025,087","$2,639,315",26.3%,United Kingdom
