Rank,Movie,InternationalBox Office,Box Office OfNumber OneMarket,Share OfNumber OneMarket,Number OneMarket
52,Lincoln,"$91,138,308","$13,264,838",14.6%,United Kingdom
53,Argo,"$91,115,254","$12,166,424",13.4%,United Kingdom
54,"Gwanghae, Wangyidoen namja","$89,990,223",,,
55,Paranormal Activity 4,"$88,917,657","$9,578,112",10.8%,United Kingdom
56,Brave Hearts Umizaru,"$88,331,372",,,Japan
57,The Best Exotic Marigold Hotel,"$88,256,141","$31,836,234",36.1%,United Kingdom
58,Dodookdeul,"$86,427,833",,,
59,The Inbetweeners,"$86,015,365",,,
60,The Iron Lady,"$85,632,668","$5,440,970",6.4%,Germany
61,Long men fei jia,"$84,960,442",,,
62,Safe House,"$82,360,532","$6,783,245",8.2%,Spain
63,Thermae Romae,"$75,387,554","$73,693,896",97.8%,Japan
64,The Woman in Black,"$74,622,608","$2,701,175",3.6%,Germany
65,The Vow,"$72,604,130","$6,727,887",9.3%,Spain
66,One Piece Film Z,"$70,569,231","$68,244,144",96.7%,Japan
67,Odoru DaisÃ´sasen the Final: Aratanaru kibÃ´,"$70,519,044",,,Japan
68,Hope Springs,"$69,549,284","$22,759,960",32.7%,Russia (CIS)
69,Secret of the Wings,"$67,084,376",,,
70,Flight,"$66,786,063","$9,235,539",13.8%,Japan
71,21 Jump Street,"$64,364,762","$16,045,775",24.9%,United Kingdom
72,AstÃ©rix et ObÃ©lix: Au service de Sa MajestÃ© ,"$60,680,125",,,Belgium
73,Ek Tha Tiger,"$60,000,000","$2,238,549",3.7%,United Kingdom
74,Chronicle,"$59,106,615","$1,341,911",2.3%,Germany
75,Anna Karenina,"$58,188,260","$8,706,723",15.0%,United Kingdom
76,To Rome with Love,"$57,641,663","$10,233,462",17.8%,Italy
77,Evangelion Shin GekijÃ´ban: Kyu,"$57,019,825",,,Japan
78,Magic Mike,"$56,828,182","$13,173,821",23.2%,United Kingdom
79,Yi jiu si er,"$55,075,212",,,
80,ParaNorman,"$52,116,611","$9,854,099",18.9%,United Kingdom
81,Pitch Perfect,"$51,043,254","$13,012,944",25.5%,Australia
82,Las aventuras de Tadeo Jones,"$51,029,081","$79,605",0.2%,New Zealand
83,The Devil Inside,"$48,496,545","$2,759,187",5.7%,Italy
84,Les petits mouchoirs,"$48,325,382",,,
85,Project X,"$48,296,323",,,
86,What to Expect When You're Expecting,"$47,320,813","$7,252,602",15.3%,Australia
87,Frankenweenie,"$45,863,000","$7,290,604",15.9%,France
88,Cold War,"$45,249,153","$5,524,539",12.2%,Hong Kong
89,Neuk-dae-so-nyeon,"$44,342,248",,,
90,Åkami Kodomo no Ame to Yuki,"$43,909,923",,,Japan
91,Parental Guidance,"$43,565,087","$11,384,441",26.1%,Australia
92,Sur la piste du Marsupilami,"$43,343,964","$2,227,406",5.1%,Belgium
93,Meitantei Conan: Juichi-ninme no Striker,"$41,863,105",,,Japan
94,Dabangg 2,"$39,690,424","$1,526,621",3.8%,United Kingdom
95,Sinister,"$39,640,904","$10,578,217",26.7%,United Kingdom
96,Zero Dark Thirty,"$38,891,719","$5,745,075",14.8%,United Kingdom
97,Ting Feng Zhe,"$38,503,726",,,China
98,Silent Hill: Revelation 3D,"$38,445,453",,,
99,Quartet,"$37,790,578","$12,406,069",32.8%,United Kingdom
100,La vÃ©ritÃ© si je mens! 3,"$36,960,781",,,France
101,The Lucky One,"$36,176,695","$6,898,490",19.1%,Australia
102,Always 3 Chome no yuhi '64 3,"$36,119,625",,,Japan
103,Savages,"$35,190,390","$4,078,402",11.6%,Russia (CIS)
104,Sammy's avonturen 2,"$34,715,056","$127,472",0.4%,Bulgaria
105,Zambezia,"$34,454,336","$5,404,699",15.7%,Russia (CIS)
106,Ta-weo,"$34,411,177",,,South Korea
107,The Master,"$34,400,257","$25,314,994",73.6%,France
108,Barfi,"$33,947,110",,,
109,The Possession,"$33,794,476",,,
110,The Five-Year Engagement,"$32,923,534","$16,369,856",49.7%,United Kingdom
111,The Watch,"$32,777,045","$6,066,189",18.5%,Australia
112,Bait 3D,"$32,588,670",,,
113,Fetih 1453,"$32,481,209","$30,729,908",94.6%,Turkey
114,Contraband,"$31,878,855","$3,312,446",10.4%,United Kingdom
115,Benvenuti al nord,"$31,546,647",,,Italy
116,Three Heroes on Distant Shores,"$31,476,575",,,Russia (CIS)
117,Rowdy Rathore,"$31,430,975","$645,874",2.1%,United Kingdom
118,Man on a Ledge,"$31,001,440","$3,758,102",12.1%,Japan
119,Agneepath,"$30,213,296",,,
120,Amour,"$30,048,090","$4,255,623",14.2%,France
121,The Grey,"$29,669,040","$1,574,611",5.3%,Mexico
122,Si da ming bu,"$29,567,632","$29,567,632",100.0%,China
123,Ai,"$29,338,638",,,Taiwan
124,Wu Xia,"$29,272,914",,,
125,Baramgwa hamjje sarajida,"$28,686,545",,,South Korea
126,The Cabin in the Woods,"$28,616,691","$8,530,392",29.8%,United Kingdom
127,Nae Anaeui Modeun Geot,"$28,555,285","$10,311",0.0%,Taiwan
128,Diary of a Wimpy Kid: Dog Days,"$28,221,033","$12,482,824",44.2%,United Kingdom
129,Dredd,"$28,052,892","$6,651,730",23.7%,United Kingdom
130,Here Comes the Boom,"$27,948,940","$7,372,869",26.4%,Germany
131,Arbitrage,"$27,911,139","$4,980,591",17.8%,Spain
132,Sou Suo,"$27,720,000",,,China
133,Bumchoiwaui junjaeng,"$27,482,633",,,South Korea
134,De rouille et dâos,"$27,332,185",,,
135,Aku no kyÃ´ten,"$26,837,117","$25,936,948",96.6%,Japan
136,Gekijouban SPEC: Ten,"$26,633,141",,,Japan
137,Geonchukhakgaeron,"$26,369,208","$26,369,208",100.0%,South Korea
138,Bokura ga ita Zenpen,"$26,324,268",,,Japan
139,Bol Bachchan,"$26,307,892","$982,479",3.7%,United Arab Emirates
140,Upside Down,"$26,284,921","$5,064,113",19.3%,Russia (CIS)
141,Torrente 4 (3D),"$26,079,076","$126,411",0.5%,Hungary
142,Yeongashi,"$25,927,961",,,South Korea
143,Nobo no shiro,"$25,746,258",,,Japan
144,éæ (Jik zin),"$25,414,221",,,
145,Xi Yang Yang Yu Hui Tai Lang Zhi Kaixin Chuang …,"$25,310,000",,,China
146,Le prÃ©nom,"$25,245,794",,,Canada
147,Housefull 2,"$25,229,912","$1,594,203",6.3%,United Kingdom
148,De l'autre cÃ´tÃ© du pÃ©riph,"$24,774,264",,,France
149,Tai Chi Zero,"$24,578,459",,,
150,Safe,"$24,353,133",,,
151,Huang Jin Da Jie An,"$24,350,000",,,China
152,Killing Them Softly,"$24,292,902","$4,413,834",18.2%,United Kingdom
153,Chernobyl Diaries,"$24,292,081","$4,399,995",18.1%,Mexico
154,Salmon Fishing in the Yemen,"$23,967,116","$9,428,458",39.3%,United Kingdom
155,Da Shang Hai,"$23,824,720",,,China
156,Xiao Shi De Zi Dan,"$23,490,000","$186,486",0.8%,Singapore
157,Moonrise Kingdom,"$23,335,980","$4,567,959",19.6%,Italy
158,Turkisch fur Anfanger,"$23,256,073",,,Germany
159,Bu-reo-jin hwa-sal,"$22,852,811","$22,822,648",99.9%,South Korea
160,Talaash,"$22,815,915","$1,492,869",6.5%,United Kingdom
161,Raia Gemu Saisei,"$22,713,078",,,Japan
162,This is 40,"$22,676,677","$5,156,966",22.7%,Australia
163,Polisse,"$22,567,144","$68,356",0.3%,United Kingdom
164,Rock of Ages,"$22,513,319","$4,929,128",21.9%,Hong Kong
165,Movie 43,"$22,324,294","$8,046,719",36.0%,Russia (CIS)
166,HerutÃ¢ sukerutÃ¢,"$21,927,919",,,Japan
167,Think Like a Man,"$21,826,559","$17,669,592",81.0%,Jordan
168,The Cold Light of Day,"$21,597,623","$10,023,142",46.4%,Russia (CIS)
169,Daensing Kwin,"$21,387,594",,,South Korea
170,That's My Boy,"$21,154,146","$5,531,488",26.1%,Russia (CIS)
171,Son of Sardaar,"$21,034,074","$545,284",2.6%,United Kingdom
172,Hotaru no Hikari,"$20,753,277",,,Japan
173,Les Lyonnais,"$20,747,278","$20,653,980",99.6%,Spain
174,Kon-Tiki,"$20,054,692","$14,111,514",70.4%,Norway
175,Sadako 3D,"$19,949,419","$16,352,171",82.0%,Japan
176,Lockout,"$19,616,184","$4,005,013",20.4%,France
177,Go-ji-jeon,"$19,603,449",,,
178,Cocktail,"$19,569,638",,,
179,Kwik,"$19,225,149",,,
180,Hodejegerne,"$18,988,730","$2,198,419",11.6%,United Kingdom
181,Mine Vaganti,"$18,872,126","$4,200,303",22.3%,Venezuela
182,The Rebound,"$18,774,608",,,
183,Hitchcock,"$18,734,167","$3,807,715",20.3%,Australia
184,OMG: Oh My God,"$18,602,281",,,
185,Winx Club - Il Segreto Del Regno Perduto,"$18,523,991",,,
186,Seven Psychopaths,"$18,011,687","$5,104,076",28.3%,United Kingdom
187,The Campaign,"$18,000,000",,,
188,Bokura ga Ita Kohen,"$17,953,383",,,Japan
189,The Sapphires,"$17,944,173","$14,710,932",82.0%,Australia
190,Stolen,"$17,677,973",,,
191,Jagten,"$17,622,608","$7,907,967",44.9%,Denmark
192,En kongelig affÃ¦re,"$17,436,516",,,
193,Haywire,"$17,432,304","$1,027,596",5.9%,France
194,A Few Best Men,"$17,224,539","$869,161",5.0%,United Kingdom
195,Lawless,"$16,996,396","$6,858,142",40.4%,United Kingdom
196,Mai wei,"$16,583,311",,,
197,End of Watch,"$16,583,235","$3,018,778",18.2%,United Kingdom
198,Raaz 3: The Third Dimension,"$16,042,498","$334,459",2.1%,United Kingdom
199,Dans la maison,"$15,859,418","$9,529,425",60.1%,France
200,Cirque du Soleil: Worlds Away,"$15,500,000",,,
201,Shanghai,"$15,459,497","$741,782",4.8%,Spain
202,The Perks of Being a Wallflower,"$15,326,355","$3,662,069",23.9%,United Kingdom
203,Solomon Kane,"$15,275,793",,,
204,Heroine,"$15,237,280","$490,016",3.2%,United Kingdom
205,Autoreiji: Biyondo,"$15,229,555","$15,221,940",100.0%,Japan
206,Snezhnaya koroleva,"$15,193,977","$7,579,740",49.9%,Russia (CIS)
207,Zarafa,"$14,709,816","$242,594",1.6%,Greece
208,Playing for Keeps,"$14,702,360",,,
209,The Raven,"$14,593,529","$1,350,678",9.3%,Spain
210,Marina Abramovic: The Artist Is Present,"$14,576,364","$14,559,189",99.9%,Spain
211,Red Lights,"$14,469,363",,,
212,Khiladi 786,"$14,298,341","$308,683",2.2%,United Kingdom
213,Gambit,"$14,214,365","$5,803,416",40.8%,Greece
214,Hong men yan,"$13,969,132",,,
215,Ek Main Aur Ekk Tu,"$13,822,484",,,
216,Hysteria,"$13,538,774","$10,563,991",78.0%,Argentina
217,Tomorrow When the War Began,"$13,400,000",,,
218,Wadjda,"$13,162,647","$9,442,952",71.7%,Italy
219,Student of the Year,"$12,702,974","$518,015",4.1%,United Kingdom
220,House at the End of the Street,"$12,492,066","$3,819,271",30.6%,United Kingdom
221,Act of Valor,"$12,484,188","$2,926,501",23.4%,Italy
222,Bachelorette,"$12,130,631","$2,711,544",22.4%,Australia
223,Agent Vinod,"$12,124,675",,,
224,Trouble with the Curve,"$12,055,776","$1,806,478",15.0%,France
225,This Must Be the Place,"$11,649,818","$367,254",3.2%,Spain
226,What a Man,"$11,639,918",,,
227,Iron Sky,"$11,443,710","$4,421,451",38.6%,Germany
228,Reign of Assassins,"$11,354,230","$34,144",0.3%,Italy
229,Spanish Movie,"$11,305,452","$43,549",0.4%,Ecuador
230,Premium Rush,"$11,117,755","$2,409,997",21.7%,Taiwan
231,La fille du puisatier,"$10,894,695","$2,648",0.0%,Portugal
232,Jannat 2,"$10,858,608","$332,484",3.1%,United Arab Emirates
233,Beasts of the Southern Wild,"$10,469,386","$2,354,491",22.5%,Poland
234,Populaire,"$10,438,198","$9,440,860",90.4%,France
235,LOL,"$10,431,506",,,
236,Dangerous Liaisons,"$10,430,579",,,
237,L'Homme qui rit,"$10,036,968","$9,748,864",97.1%,France
238,Snabba Cash,"$10,023,533",,,
