Rank,Movie,InternationalBox Office,Box Office OfNumber OneMarket,Share OfNumber OneMarket,Number OneMarket
1,The Avengers,"$894,656,350","$83,060,000",9.3%,China
2,Skyfall,"$806,166,704","$158,348,368",19.6%,United Kingdom
3,Ice Age: Continental Drift,"$718,443,294","$67,098,540",9.3%,Germany
4,The Hobbit: An Unexpected Journey,"$714,000,000","$88,783,936",12.4%,Germany
5,The Dark Knight Rises,"$636,300,000","$90,721,728",14.3%,United Kingdom
6,"The Twilight Saga: Breaking Dawn, Part 2","$537,400,000","$57,946,292",10.8%,United Kingdom
7,Madagascar 3: Europe's Most Wanted,"$530,529,789",,,
8,Life of Pi,"$495,924,981","$45,505,448",9.2%,United Kingdom
9,The Amazing Spider-Man,"$495,859,604","$21,581,340",4.4%,South Korea
10,Men in Black 3,"$475,192,631","$75,915,852",16.0%,China
11,Les Intouchables,"$471,690,764",,,
12,Ted,"$337,350,887","$48,865,528",14.5%,United Kingdom
13,Brave,"$317,324,350","$34,789,692",11.0%,United Kingdom
14,Wreck-It Ralph,"$307,098,844","$59,071,044",19.2%,France
15,Les Miserables,"$293,359,282","$38,355,264",13.1%,South Korea
16,Django Unchained,"$287,142,889","$50,853,260",17.7%,Germany
17,Prometheus,"$275,971,181","$39,270,120",14.2%,United Kingdom
18,The Hunger Games,"$269,912,687","$37,332,096",13.8%,United Kingdom
19,Battleship,"$248,244,317","$18,128,606",7.3%,Japan
20,Snow White and the Huntsman,"$245,884,991","$24,474,724",10.0%,United Kingdom
21,Taken 2,"$237,953,117","$37,829,352",15.9%,United Kingdom
22,Hotel Transylvania,"$230,192,764","$25,753,108",11.2%,Japan
23,The Expendables 2,"$226,951,064","$17,150,304",7.6%,Russia (CIS)
24,Wrath of the Titans,"$221,600,000","$17,811,320",8.0%,Mexico
25,Journey 2: The Mysterious Island,"$214,285,872","$10,709,999",5.0%,United Kingdom
26,John Carter,"$209,719,421","$12,093,015",5.8%,Mexico
27,Ren zai jiong tu zhi tai jiong,"$205,400,000","$190,727,504",92.9%,China
28,Rise of the Guardians,"$203,488,144","$24,976,874",12.3%,France
29,Resident Evil: Retribution,"$198,302,098","$45,289,436",22.8%,Japan
30,American Reunion,"$180,040,376","$25,867,816",14.4%,United Kingdom
31,Shi Er Sheng Xiao,"$169,994,606",,,China
32,The Bourne Legacy,"$167,152,050",,,
33,Dark Shadows,"$158,475,519","$27,084,868",17.1%,Japan
34,Total Recall,"$152,978,119",,,
35,The Impossible,"$150,570,724","$54,536,668",36.2%,Spain
36,Jack Reacher,"$137,300,000","$14,709,068",10.7%,United Kingdom
37,Doctor Seuss' The Lorax,"$136,946,253","$15,473,095",11.3%,Australia
38,Kari gurashi no Arietti,"$132,303,587",,,
39,Step Up Revolution,"$130,477,613","$12,690,216",9.7%,Germany
40,The Dictator,"$120,498,675","$17,885,312",14.8%,United Kingdom
41,Hua Pi 2,"$118,495,630","$1,265,372",1.1%,Taiwan
42,Mirror Mirror,"$108,678,315","$11,908,879",11.0%,United Kingdom
43,The Pirates! Band of Misfits,"$105,092,479","$26,011,381",24.8%,United Kingdom
44,Silver Linings Playbook,"$104,319,495","$14,313,759",13.7%,Australia
45,Looper,"$103,980,200","$16,564,421",15.9%,United Kingdom
46,Cloud Atlas,"$103,564,882","$17,021,626",16.4%,Russia (CIS)
47,This Means War,"$102,213,766","$7,358,824",7.2%,Japan
48,Abraham Lincoln: Vampire Hunter,"$99,970,591","$28,568,892",28.6%,Australia
49,Underworld: Awakening,"$98,058,891",,,
50,Jin lÃ­ng shÃ­ san chai,"$97,915,583",,,
51,Ghost Rider: Spirit of Vengeance,"$97,443,353","$72,822,120",74.7%,Japan
